8.24.0-4.a.1.6|8|[[1, 2, 4, 1], [5, 0, 0, 1], [5, 4, 6, 7], [7, 6, 2, 5]]
4.24.0-4.b.1.1|4|[[1, 2, 0, 1], [3, 0, 0, 1]]
4.24.0-4.b.1.2|4|[[3, 0, 0, 1], [3, 2, 0, 3]]
4.24.0-4.b.1.3|4|[[1, 2, 0, 1], [1, 2, 0, 3]]
8.24.0-4.b.1.1|8|[[1, 2, 0, 1], [1, 4, 0, 3], [1, 6, 4, 1], [3, 2, 4, 1], [7, 6, 0, 1]]
8.24.0-4.b.1.2|8|[[3, 0, 0, 1], [3, 0, 4, 1], [5, 2, 4, 3], [5, 4, 4, 3], [5, 6, 0, 5]]
8.24.0-4.b.1.3|8|[[1, 0, 4, 5], [1, 4, 0, 3], [3, 0, 4, 3], [3, 4, 4, 7], [5, 6, 4, 3]]
8.24.0-4.b.1.4|8|[[1, 2, 0, 1], [3, 6, 0, 5], [3, 6, 0, 7], [5, 0, 0, 5], [7, 2, 4, 5]]
8.24.0-4.b.1.5|8|[[3, 0, 4, 5], [3, 2, 4, 5], [5, 6, 0, 3], [5, 6, 0, 5], [7, 2, 4, 3]]
8.24.0-4.b.1.6|8|[[1, 2, 4, 7], [3, 0, 0, 5], [3, 2, 4, 1], [7, 6, 0, 5], [7, 6, 4, 5]]
8.24.0-4.b.1.7|8|[[1, 0, 4, 7], [1, 4, 4, 5], [1, 6, 4, 1], [5, 4, 0, 7], [7, 2, 0, 7]]
8.24.0-4.b.1.8|8|[[1, 2, 0, 5], [3, 0, 4, 3], [5, 0, 4, 7], [7, 4, 0, 3], [7, 4, 4, 5]]
8.24.0-4.b.1.9|8|[[1, 0, 0, 7], [1, 2, 4, 1], [3, 0, 4, 1], [7, 4, 4, 3], [7, 6, 0, 7]]
8.24.0-4.b.1.10|8|[[1, 6, 4, 7], [3, 0, 0, 3], [5, 4, 4, 7], [5, 6, 4, 1], [7, 0, 0, 1]]
8.24.0-4.b.1.11|8|[[1, 0, 0, 3], [1, 6, 4, 1], [3, 6, 4, 5], [7, 0, 4, 3], [7, 2, 4, 3]]
4.24.0-4.c.1.1|4|[[3, 1, 2, 3]]
8.24.0-4.c.1.1|8|[[5, 6, 0, 5], [7, 3, 2, 3], [7, 4, 0, 3]]
8.24.0-4.c.1.2|8|[[3, 3, 6, 7], [5, 2, 0, 5], [7, 2, 4, 3]]
8.24.0-4.c.1.3|8|[[5, 2, 0, 1], [5, 2, 4, 1], [5, 3, 6, 5]]
4.24.0-4.d.1.1|4|[[1, 2, 0, 1], [3, 3, 0, 1]]
4.24.0-4.d.1.2|4|[[3, 2, 0, 3], [3, 3, 0, 1]]
8.24.0-4.d.1.1|8|[[3, 1, 0, 5], [5, 2, 0, 5], [5, 3, 4, 3], [7, 3, 4, 5]]
8.24.0-4.d.1.2|8|[[1, 7, 4, 3], [3, 1, 0, 5], [5, 0, 4, 1], [5, 5, 4, 7]]
8.24.0-4.d.1.3|8|[[5, 4, 0, 1], [5, 5, 0, 3], [7, 4, 4, 3], [7, 6, 4, 3]]
8.24.0-4.d.1.4|8|[[1, 5, 0, 3], [5, 3, 0, 3], [5, 3, 4, 7], [7, 7, 4, 5]]
8.24.0-4.d.1.5|8|[[1, 5, 0, 3], [1, 6, 4, 1], [3, 1, 4, 1], [7, 1, 0, 5]]
8.24.0-4.d.1.6|8|[[1, 5, 0, 7], [5, 0, 0, 1], [7, 1, 0, 5], [7, 3, 4, 5]]
4.48.0-4.a.1.1|4|[[1, 2, 2, 3]]
8.48.0-4.a.1.1|8|[[1, 0, 4, 1], [1, 4, 0, 1], [7, 0, 0, 3], [7, 2, 2, 1]]
8.48.0-4.a.1.2|8|[[1, 4, 0, 1], [5, 0, 4, 1], [7, 0, 0, 3], [7, 2, 2, 1]]
8.48.0-4.a.1.3|8|[[1, 0, 4, 5], [5, 4, 0, 1], [7, 0, 0, 3], [7, 2, 2, 1]]
4.48.0-4.b.1.1|4|[[1, 0, 0, 3]]
8.48.0-4.b.1.1|8|[[1, 0, 4, 1], [1, 4, 0, 1], [3, 0, 0, 1], [3, 0, 0, 3], [5, 0, 0, 1]]
8.48.0-4.b.1.2|8|[[1, 0, 0, 3], [1, 0, 4, 1], [1, 4, 0, 1], [5, 4, 4, 5], [7, 0, 0, 1]]
8.48.0-4.b.1.3|8|[[1, 4, 0, 1], [3, 0, 0, 1], [3, 0, 0, 3], [5, 0, 0, 1], [5, 4, 4, 5]]
8.48.0-4.b.1.4|8|[[1, 4, 0, 1], [3, 0, 0, 3], [5, 0, 4, 1], [5, 4, 4, 5], [7, 0, 0, 1]]
