X0(33) | 3 | '3.1.2819.1' | [ 110966459564449291/142657607172096, 15198617816329506755/1521681143169024, -15551968244469677873/4565043429507072 ] | '3.1.2819.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.2819.1' | [ 34287952/81, 1026749/54, -4477678/81 ] | '3.1.2819.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.60527.1' | [ 197038346165877146473953132343/8714094326467802506985472, -261440923899814449288299966977/52284565958806815041912832, 15078366403696713360798651473/52284565958806815041912832 ] | '3.1.60527.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.8756.1' | [ 25303697353/196608, 4272152423/131072, 1062147229/98304 ] | '3.1.8756.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.907.1' | [ -3411037/40, 513361/8, -471769/40 ] | '3.1.907.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.1999.1' | [ -33426188145192579/536870912, -12345063071801465/4294967296, -49803922195261929/8589934592 ] | '3.1.1999.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.1999.1' | [ -748981451/16, -274056845/128, -558332569/128 ] | '3.1.1999.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.91652.1' | [ -608180333092878445079/531441000, 1210183503160370989/8857350, -10494739423768765507/531441000 ] | '3.1.91652.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.91652.1' | [ 947476152806228805442750237421288521/583666511707216281600000000000, -3065394974181779380482786837306611/9727775195120271360000000000, -59576337587762259849625605064196707/583666511707216281600000000000 ] | '3.1.91652.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.1572.1' | [ 14699622795169078270291/5559060566555523, -569894845651687300462663/355779876259553472, -499747643037195586337729/355779876259553472 ] | '3.1.1572.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.1572.1' | [ 436/3, -3943/12, -689/12 ] | '3.1.1572.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.628.1' | [ -850400607/8, -1199276677/16, 713310555/64 ] | '3.1.628.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.628.1' | [ -186023879712998687/524288, 1494983848689357883/1048576, 5999279830538129435/4194304 ] | '3.1.628.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.411.1' | [ 22367182192640/177147, -63371390058496/177147, 21704465481728/177147 ] | '3.1.411.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.411.1' | [ -109546307584/27, 13347061760/27, -23031709696/27 ] | '3.1.411.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.268.1' | [ -9731904229328, 1618840959104, 3484243923456 ] | '3.1.268.1' | \N | \N |[]
X0(33) | 3 | '3.1.268.1' | [ 432, -576, -64 ] | '3.1.268.1' | \N | \N |[]
X0(33) | 3 | '3.1.268.1' | [ -38775671676746448, 43464857302947264, -14887062708522304 ] | '3.1.268.1' | \N | \N |[]
X0(33) | 3 | '3.1.268.1' | [ 2712112, -58816, -767424 ] | '3.1.268.1' | \N | \N |[]
X0(34) | 3 | '3.1.283.1' | [ 5582024440924692777620113/17179869184, 338558657988617243965641/17179869184, 1374730022139438861159013/17179869184 ] | '3.1.283.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.27620.1' | [ 298157377/4, 49177669/2, -87211971/4 ] | '3.1.27620.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.27620.1' | [ 13614416790634886126936374998689833/295147905179352825856, 731483470559242054825612916330445/147573952589676412928, 586006968382755346312611928530565/295147905179352825856 ] | '3.1.27620.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.27620.1' | [ 14349969833/16, 771011405/8, 617684485/16 ] | '3.1.27620.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.2488.1' | [ 1333669042687448444565579381551/65536, 48305906312904301759756737977/32768, 396665222943614232301873913687/131072 ] | '3.1.2488.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.2488.1' | [ -32334910702939522140689/8589934592, -1171275337235609418503/4294967296, -9610449032327997961193/17179869184 ] | '3.1.2488.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.2488.1' | [ -3809/2, 2257, -2633/4 ] | '3.1.2488.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.27620.1' | [ 56166929563421164386849493987281432033/17179869184, 3017770147562485385427995774099354725/8589934592, 2417599859341386130573196336413218141/17179869184 ] | '3.1.27620.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.283.1' | [ 2015669233/4, 122245161/4, 496390213/4 ] | '3.1.283.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.283.1' | [ -5237935623656641897244149573/295147905179352825856, -335873368266437594929096413/295147905179352825856, -1289111619682442098654914345/295147905179352825856 ] | '3.1.283.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.283.1' | [ -339013/16, -32733/16, -93225/16 ] | '3.1.283.1' | 'No' | 0 |[]
X0(34) | 3 | '3.1.2488.1' | [ 65711, 4594, 19607/2 ] | '3.1.2488.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.932.1' | [ 6237708912635169/34359738368, 205213510903209/8589934592, 1128679124738909/34359738368 ] | '3.1.932.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.8488.1' | [ -673456129983460057/7962624, -4481337106131038041/3981312, 1819893966180067933/7962624 ] | '3.1.8488.1' | 'No' | 0 |[]
X0(35) | 3 | '3.1.212.1' | [ -2206043/16, 769471/8, 9719079/32 ] | '3.1.212.1' | 'No' | 0 |[]
