// Data from Box, Gajović, Goodman
// "Cubic and Quartic Points on Modular Curves Using Generalised Symmetric Chabauty"
// IMRN, 2022
// https://arxiv.org/pdf/2102.08236.pdf
//Curve label | genus | field of defn of point | j-invariant | Q(j) | CM | Discriminant of the CM order | Quotient information
'X0(65)' | 5 | '4.2.75427.1'  |  [ -559051139378399623131053524570373/73786976294838206464, -428793171837557068985508233974065/147573952589676412928, -58389322418959943410157155889373/147573952589676412928, 82530874763434407104988528897559/147573952589676412928 ] | '4.2.75427.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.211044.1'  | [ -919499937478894345021274533/2348273369088, -1008733619395736267637671387/18786186952704, 277849072033217844542274211/6262062317568, -264548075078242531322119717/9393093476352 ]  | '4.2.211044.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.211044.1'   | [ 820898088743988994447948805/88944969064888368, 8609137673795812100808665275/711559752519106944, -1345054958389189000622466811/237186584173035648, 727665670515027013649691689/355779876259553472 ]  | '4.2.211044.1'   | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.211044.1'   | [ 166407694997/3, 1745183842219/24, -272669043323/8, 147504898289/12 ]  | '4.2.211044.1'   | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.211044.1'   | [ -705039875284/27, -2750405339723/54, -97601552941/18, 228442074923/27 ]  | '4.2.211044.1'   | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.22142892.1'  | [ -18392230818354718726235457141956161/1146401823503005632, 27551326444124285184035446453362223/10317616411527050688, -108000963828274810939838357197787/382133941167668544, 551500224281215664829167280769459/10317616411527050688 ]  | '4.2.22142892.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.22142892.1'  | [ 244774517361573679635138808707546460609891/4926210048, 5219097010417755802150885707010029194059739/532030685184, 3788393396162743685733269120361830037047/3694657536, 95326862066056021324942131004607377982417/532030685184 ]  | '4.2.22142892.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.22142892.1'  | [ -27294670739335861261596979041/4279644625100615974912, 13628990993078146017200509961/12838933875301847924736, -480585345345828371297212731/4279644625100615974912, 272821842067812043459150463/12838933875301847924736 ]  | '4.2.22142892.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.22142892.1'  | [ 844138028854990805677/2850816, 1499898372357530447969/25657344, 5806568474666055189/950272, 27395558102194290407/25657344 ]  | '4.2.22142892.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.77994564.1'  | [ 181623408553381786102605016087/3015067041792, 48264046738106475323520041279/463856467968, 62414195795555063898232743/4294967296, 9696652518865066949806479791/6030134083584 ]  | '4.2.77994564.1' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.77994564.1'  | [ 137681933316653139556152865/4992, 887119056416779177340393/768, 4827261162781483572895/64, -461824101632439297789343/9984 ]  | '4.2.77994564.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.77994564.1'  | [ 79724770135059905574117266215/56862, 21185815543453751820391522223/8748, 246574035105954345271079995/729, 4256408352336373807957394927/113724 ]  | '4.2.77994564.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.77994564.1'  | [ 2245872908999572736958345111154138862017/578142298921774392, 14470719635244446293324461171468978569/88944969064888368, 8749162983435213671226746026792423/823564528378596, -7533292230825378659055246790818024319/1156284597843548784 ] |  '4.2.77994564.1' | 'no' | 0 | [] 
