id|label|level|generators
bigint|text|integer|integer[]

55947|100.180.9.2|100|{{91,32,50,33},{21,71,50,59},{37,18,50,19},{93,63,0,31},{31,98,0,63}}
55948|100.180.9.3|100|{{53,45,0,69},{3,95,0,57},{9,72,50,19},{47,32,0,21}}
55949|100.180.9.4|100|{{43,11,0,39},{53,29,50,43},{7,2,50,51},{61,17,50,89}}
55926|100.60.0.1|100|{{62,67,25,73},{1,28,0,87},{18,51,25,66}}
55927|100.60.0.2|100|{{2,7,25,19},{19,48,25,39},{67,98,50,73}}
56123|102.216.17.13|102|{{69,17,85,90},{55,59,17,74},{93,65,34,39},{30,85,85,72}}
55930|100.60.3.1|100|{{29,76,75,51},{53,81,75,8},{49,35,75,62},{76,39,75,12}}
55931|100.60.3.2|100|{{76,27,25,82},{56,67,75,3},{28,21,75,26}}
56039|102.108.5.1|102|{{53,17,0,79},{5,62,68,99},{29,7,68,71}}
55975|102.12.1.10|102|{{52,95,61,79},{35,41,89,4}}
56054|102.108.9.2|102|{{9,61,85,78},{40,5,85,91},{43,63,51,82},{97,9,51,82}}
56041|102.108.7.1|102|{{41,11,68,39},{61,24,68,67},{79,13,34,15}}
56050|102.108.7.10|102|{{1,75,0,37},{71,6,0,77},{60,43,85,56},{82,63,17,8}}
56051|102.108.7.11|102|{{31,6,17,53},{74,47,17,15},{37,72,51,67},{59,13,34,97}}
56052|102.108.7.12|102|{{10,49,17,7},{66,89,17,18},{7,71,34,19},{31,39,51,50}}
57381|117.84.2.21|117|{{96,106,52,30},{43,96,104,19}}
56042|102.108.7.2|102|{{50,59,17,10},{42,37,17,75},{45,80,34,81},{67,4,17,19}}
56043|102.108.7.3|102|{{19,10,85,41},{88,13,85,38},{70,65,17,71},{1,62,51,101}}
56044|102.108.7.4|102|{{99,80,34,11},{35,42,0,31},{26,41,17,72}}
56045|102.108.7.5|102|{{19,14,68,63},{57,56,68,71},{101,1,0,25}}
56047|102.108.7.7|102|{{55,65,51,32},{48,1,17,9},{61,21,68,23},{41,96,51,77}}
56048|102.108.7.8|102|{{87,59,68,45},{24,77,85,69},{25,19,17,58},{55,23,17,74}}
56049|102.108.7.9|102|{{73,55,85,56},{4,7,85,20},{89,40,85,1},{9,52,85,57}}
56053|102.108.9.1|102|{{7,62,17,99},{55,92,17,39},{33,65,68,1}}
57413|117.168.2.29|117|{{1,75,65,89},{36,20,65,116}}
56055|102.108.9.3|102|{{67,74,68,71},{54,61,85,50},{31,23,0,23},{97,4,34,95}}
56056|102.108.9.4|102|{{81,55,34,45},{65,83,68,37},{91,13,68,97},{32,53,85,20}}
56057|102.108.9.5|102|{{29,43,0,73},{76,15,51,73},{5,71,68,25},{7,70,85,57}}
56058|102.108.9.6|102|{{44,65,17,99},{4,31,85,87},{57,53,68,49},{35,20,68,55}}
56059|102.108.9.7|102|{{48,61,17,63},{81,97,85,6},{89,19,34,61},{3,22,17,87}}
56061|102.108.9.9|102|{{32,37,17,92},{101,48,51,1},{95,64,85,97},{31,67,17,94}}
55965|102.12.0.1|102|{{15,19,68,33},{69,88,85,63},{39,85,101,60}}
55966|102.12.1.1|102|{{79,17,86,53},{46,89,11,77},{61,95,78,53}}
55976|102.12.1.11|102|{{83,53,23,4},{33,61,28,65}}
55977|102.12.1.12|102|{{32,11,23,55},{81,46,85,101}}
55967|102.12.1.2|102|{{24,25,97,39},{14,57,27,50},{83,15,15,22}}
56124|102.216.17.14|102|{{81,41,34,3},{47,50,34,11},{55,60,51,53},{53,59,68,55}}
55968|102.12.1.3|102|{{64,27,39,10},{80,55,41,29}}
55969|102.12.1.4|102|{{98,7,95,89},{62,85,59,98}}
55970|102.12.1.5|102|{{12,77,79,54},{39,43,34,53}}
55971|102.12.1.6|102|{{23,81,93,22},{20,35,43,98}}
56125|102.216.17.15|102|{{8,11,51,76},{15,8,34,63},{55,99,51,40},{70,15,51,1}}
55972|102.12.1.7|102|{{88,51,101,44},{0,67,97,65}}
55973|102.12.1.8|102|{{44,99,1,82},{33,14,85,75}}
55974|102.12.1.9|102|{{76,73,43,39},{90,13,53,99}}
55978|102.18.0.1|102|{{67,97,46,65},{17,14,86,51},{69,61,28,11}}
56126|102.216.17.16|102|{{35,18,17,55},{9,67,68,63},{35,10,85,91},{52,9,51,40}}
56073|102.216.13.8|102|{{77,58,0,83},{60,17,17,100},{37,36,0,53}}
55979|102.18.0.2|102|{{71,101,94,17},{81,100,10,87},{73,100,100,77}}
55980|102.18.0.3|102|{{99,94,4,47},{65,8,80,85},{71,97,0,49}}
55981|102.18.0.4|102|{{82,21,93,76},{26,81,21,10},{95,4,40,97}}
